name,Postcode,Type,Provider,OrganisationType,Latitude,Longitude
Eltham Lodge Nursing Home,3095,Residential,St Vincent's Care Services Ltd.,Religious,-37.71218754,145.145762
Little Sisters of the Poor St Joseph's Home,3070,Residential,Little Sisters of the Poor Aged Care Ltd,Religious,-37.77170175,144.9910753
Koorooman House Nursing Home,3953,Residential,Gippsland Southern Health Service,State Government,-38.48648559,145.9491376
Queen Elizabeth Centre (Steele Haughton Unit),3350,Residential,Ballarat Health Services,State Government,-37.56363068,143.8436027
Regis Inala Lodge,3130,Residential,Regis Aged Care Pty Ltd,Private Incorporated Body,-37.83899343,145.1378696
HammondCare - Caulfield Nursing Home,3162,Residential,HammondCare,Charitable,-37.883267,145.015568
Mercy Place Abbottsford Nursing Home,3067,Residential,Mercy Aged and Community Care Ltd,Charitable,-37.80204383,145.002118
Mirridong,3550,Residential,Japara Aged Care Services Pty Ltd,Private Incorporated Body,-36.757978,144.2889286
Cambridge House,3066,Residential,St Vincent's Hospital (Melbourne) Limited,Charitable,-37.8081155,144.9845669
Westernport Nursing Home,3981,Residential,Kooweerup Regional Health Service,State Government,-38.20964,145.471487
Grant Lodge Aged Care Facility,3340,Residential,Djerriwarrh Health Services,State Government,-37.67504704,144.432501
Vasey RSL Care Brighton East,3187,Residential,Vasey RSL Care Ltd,Community Based,-37.90783067,145.0182431
Jacaranda Village,3496,Residential,Red Cliffs and Community Aged Care Services Inc,Charitable,-34.314105,142.192366
Regis Shenley Manor,3124,Residential,Regis Aged Care Pty Ltd,Private Incorporated Body,-37.83793221,145.0640438
Sheridan Aged Care,3620,Residential,Kyabram and District Health Services,State Government,-36.314786,145.042381
Grutzner House,3630,Residential,Goulburn Valley Health,State Government,-36.36263801,145.4057688
Lyndoch Nursing Home,3280,Residential,Lyndoch Living Inc.,Community Based,-38.396761,142.506861
Merindah Lodge Nursing Home,3260,Residential,South West Healthcare,State Government,-38.23800495,143.1391198
J.H.F. McDonald Wing Nursing Home,3860,Residential,Central Gippsland Health Service,State Government,-37.96096415,146.9832787
Parkvilla Aged Care Facility,3616,Residential,Goulburn Valley Health,State Government,-36.4391442,145.2258242
Wimmera Nursing Home,3400,Residential,Wimmera Health Care Group,State Government,-36.71149559,142.2172753
Corangamarah,3250,Residential,Colac Area Health,State Government,-38.34084103,143.5822537
Harbourside Lodge,3305,Residential,Portland District Health,State Government,-38.34120331,141.6051897
Wattle Rise,3465,Residential,Maryborough District Health Service,State Government,-37.0451603,143.7384714
Morrie Evans Wing Nursing Home,3672,Residential,Benalla Health,State Government,-36.55320475,145.989376
Cooinda Lodge Nursing Home,3820,Residential,West Gippsland Healthcare Group,State Government,-38.17244463,145.927329
Iona Digby Harris Home,3418,Residential,West Wimmera Health Service,State Government,-36.333768,141.655593
Wilson Lodge,3850,Residential,Central Gippsland Health Service,State Government,-38.10892045,147.0813899
70 Lowe Street,3377,Residential,East Grampians Health Service,State Government,-37.27796911,142.9329944
Kara Court Nursing Home,3478,Residential,East Wimmera Health Service,State Government,-36.609559,143.246848
Buckland House Nursing Home,3722,Residential,Mansfield District Hospital,State Government,-37.0495796,146.0881979
Macpherson Smith Residential Care,3380,Residential,Stawell Regional Health,State Government,-37.05969971,142.7795406
Dimboola District Hospital Nursing Home Unit,3414,Residential,Wimmera Health Care Group,State Government,-36.45004188,142.0234702
Karana,3730,Residential,Yarrawonga Health,State Government,-36.00922193,146.0057344
Swan Hill District Nursing Home,3585,Residential,Swan Hill District Health,State Government,-35.339907,143.55561
Maldon Hospital - Mountview Nursing Home,3463,Residential,Maldon Hospital,State Government,-36.99396123,144.0650481
Alchera House,3950,Residential,Gippsland Southern Health Service,State Government,-38.43038489,145.8294399
Glenarm Nursing Home,3579,Residential,Kerang District Health,State Government,-35.72438854,143.9168119
Irvin House,3644,Residential,Cobram District Health,State Government,-35.91652979,145.6510927
Yarriambiack Lodge Nursing Home,3393,Residential,Rural Northwest Health,State Government,-36.25353,142.377585
Seymour District Nursing Home,3660,Residential,Seymour District Memorial Hospital,State Government,-37.0188592,145.1386575
Grandview Lodge,3527,Residential,East Wimmera Health Service,State Government,-36.07956756,143.232492
Kirrak House,3995,Residential,Bass Coast Health,State Government,-38.61652628,145.5916153
Inglewood & Districts Health Service (Nursing Home),3517,Residential,Inglewood & Districts Health Service,State Government,-36.57258515,143.873394
George Vowell,3930,Residential,Japara Aged Care Services Pty Ltd,Private Incorporated Body,-38.20867,145.076112
Casterton Memorial Hospital Nursing Home,3311,Residential,Casterton Memorial Hospital,State Government,-37.59036843,141.3931657
Kowree Nursing Home Unit,3318,Residential,Edenhope & District Memorial Hospital,State Government,-37.03562349,141.288851
Karinya,3636,Residential,Numurkah District Health Service,State Government,-36.09934535,145.4435594
mecwacare Trescowthick Centre,3181,Residential,MECWA,Community Based,-37.8487697,144.9891947
Kolor Lodge Hostel,3289,Residential,Western District Health Service,State Government,-37.87658069,142.2868053
Dianella Hostel,3764,Residential,The Kilmore & District Hospital,State Government,-37.30054088,144.9547589
Villa Maria Catholic Homes Berwick Aged Care Residence,3806,Residential,Villa Maria Catholic Homes Limited,Charitable,-38.02389137,145.3292965
Villa Maria Catholic Homes Bundoora Aged Care Residence,3083,Residential,Villa Maria Catholic Homes Limited,Charitable,-37.69231857,145.0632538
Trentham Nursing Home,3458,Residential,Hepburn Health Service,State Government,-37.38673635,144.3275985
James Barker House,3011,Residential,The Salvation Army (Victoria) Property Trust,Religious,-37.8036364,144.8960107
Geoffrey Cutter Centre,3350,Residential,Ballarat Health Services,State Government,-37.558231,143.890442
The Alexander Aged Care Centre,3168,Residential,Premier Aged Care Pty Ltd,Private Incorporated Body,-37.9135752,145.1231818
Talbot Place Aged Care Facility,3350,Residential,Ballarat Health Services,State Government,-37.562466,143.842038
Estia Health Ringwood,3134,Residential,Estia Investments Pty Ltd,Private Incorporated Body,-37.837549,145.228182
Diana Street Lodge,3136,Residential,Donwood Community Aged Care Services Inc,Community Based,-37.799678,145.26086
Narracan Gardens Aged Care Facility,3825,Residential,Japara Aged Care Services Pty Ltd,Private Incorporated Body,-38.17782955,146.2754394
Simpkin House Nursing Home,3550,Residential,Bendigo Health Care Group,State Government,-36.733902,144.268364
Latrobe Regional Hospital Nursing Home,3844,Residential,Latrobe Regional Hospital,State Government,-38.21803416,146.469139
Regis Ontario,3500,Residential,Regis Aged Care Pty Ltd,Private Incorporated Body,-34.19493398,142.1311547
Vasey RSL Care Brighton,3186,Residential,Vasey RSL Care Ltd,Community Based,-37.89975055,144.9964755
Grace Of Mary Greek Cypriot Elderly Hostel,3076,Residential,The Community of Cypriots of the Northern Suburbs of Melbourne Inc,Community Based,-37.647814,145.059959
Ottoman Village Aged Care,3047,Residential,Broadmeadows Turkish Islamic Society Inc,Community Based,-37.67637415,144.9156839
Oasis Aged Care,3498,Residential,Southern Cross Care (Broken Hill) Ltd,Religious,-34.21424,142.186203
Andrew Kerr Care,3931,Residential,Andrew Kerr Care Ltd,Community Based,-38.218926,145.044644
Killara Hostel,3981,Residential,Kooweerup Regional Health Service,State Government,-38.20964,145.471487
Doncaster Melaleuca Lodge,3108,Residential,MannaCare Inc.,Community Based,-37.776454,145.118946
Opal Warrnambool,3280,Residential,DPG Services Pty Ltd,Private Incorporated Body,-38.38273125,142.5174101
Opal Roxburgh,3048,Residential,DPG Services Pty Ltd,Private Incorporated Body,-37.64431173,144.9139505
Opal Hobsons Bay,3025,Residential,DPG Services Pty Ltd,Private Incorporated Body,-37.832776,144.839428
Opal Meadowglen,3076,Residential,DPG Services Pty Ltd,Private Incorporated Body,-37.64790361,145.0607616
Bayside Hostel,3195,Residential,Allity Pty Ltd,Private Incorporated Body,-38.004942,145.087186
Balmoral Grove,3216,Residential,Japara Aged Care Services Pty Ltd,Private Incorporated Body,-38.20174825,144.344571
Gibson Street Complex,3550,Residential,Bendigo Health Care Group,State Government,-36.73299055,144.2676639
Hopetoun Nursing Home,3396,Residential,Rural Northwest Health,State Government,-35.73093915,142.3655104
mecwacare Park Hill,3931,Residential,MECWA,Community Based,-38.2376578,145.0603777
Villa Del Sole,3046,Residential,Securo Care Proprietary Limited,Private Incorporated Body,-37.70377589,144.9085725
Marina Residential Aged Care Service,3025,Residential,Jimroy Pty Ltd,Private Incorporated Body,-37.83125055,144.8469572
Capel Sands Aged Care,3940,Residential,Japara Aged Care Services Pty Ltd,Private Incorporated Body,-38.364564,144.876758
Emmavale Gardens,3107,Residential,Menarock Aged Care Services (Templestowe) Pty Ltd,Private Incorporated Body,-37.7733289,145.1164958
Estia Health Coolaroo,3048,Residential,Estia Investments Pty Ltd,Private Incorporated Body,-37.65766601,144.931367
Avonlea Grange Hostel,3194,Residential,Allity Pty Ltd,Private Incorporated Body,-37.97670105,145.0546127
Doutta Galla Queens Park Aged Care Facility,3039,Residential,Doutta Galla Aged Services Ltd,Charitable,-37.76001,144.924259
Graceland Manor,3185,Residential,Graceland Hostel Services Pty Ltd,Private Incorporated Body,-37.885542,145.010051
The Birches,3300,Residential,Western District Health Service,State Government,-37.737246,142.029706
Estia Health Dandenong,3175,Residential,Estia Investments Pty Ltd,Private Incorporated Body,-37.97778431,145.2242639
Sandhurst Aged Care,3201,Residential,Japara Aged Care Services Pty Ltd,Private Incorporated Body,-38.090863,145.185863
Melville Grange Hostel,3806,Residential,Wickro Pty Ltd,Private Incorporated Body,-38.03890867,145.3458849
Opal Lakeview,3909,Residential,Domain Aged Care (Victoria) Pty Ltd,Private Incorporated Body,-37.87030915,147.9918806
Embracia in Reservoir,3073,Residential,Embracia Victoria Pty Ltd,Private Incorporated Body,-37.70337678,144.9989378
Waverley Valley Aged Care,3150,Residential,Glenvoir Holdings Pty Ltd,Private Incorporated Body,-37.86946749,145.1590512
Noble Gardens Residential Aged Care,3174,Residential,Great Oaks Pty Ltd,Private Incorporated Body,-37.97263503,145.1778402
Estia Health Heidelberg West,3081,Residential,Estia Investments Pty Ltd,Private Incorporated Body,-37.748036,145.046458
Belmont Grange,3216,Residential,Wickro Pty Ltd,Private Incorporated Body,-38.19636551,144.3380051
Arcare Hillside,3037,Residential,Arcare Pty Ltd,Private Incorporated Body,-37.70110626,144.759266
Rangeview Private Nursing Home,3677,Residential,Rangeview Private Nursing Home Pty Ltd,Private Incorporated Body,-36.37538163,146.3041707
Millward,3109,Residential,Japara Aged Care Services Pty Ltd,Private Incorporated Body,-37.79904918,145.1597649
Arcare Sydenham,3037,Residential,Arcare Pty Ltd,Private Incorporated Body,-37.697084,144.767234
Wintringham Gilgunya Village,3058,Residential,Wintringham,Charitable,-37.745196,144.969244
Opal Seahaven,3996,Residential,Domain Aged Care (Victoria) Pty Ltd,Private Incorporated Body,-38.6284979,145.7168532
Cabrini Residential Care - Ashwood,3147,Residential,Cabrini Property Association,Religious,-37.87045441,145.095196
Estia Health Keysborough,3173,Residential,Estia Investments Pty Ltd,Private Incorporated Body,-37.99518046,145.1692698
Charlesbrook,3106,Residential,McKenzie Aged Care Group Pty Ltd,Private Incorporated Body,-37.75383903,145.1519141
Regis Sandringham,3191,Residential,Regis Aged Care Pty Ltd,Private Incorporated Body,-37.95189301,145.0064859
MiCare Margriet Manor,3137,Residential,MiCare Ltd,Community Based,-37.807706,145.325998
Rosanna Views Residential Aged Care Facility,3084,Residential,Japara Aged Care Services Pty Ltd,Private Incorporated Body,-37.74070731,145.0688424
Edenvale Manor Aged Care Facility,3033,Residential,Llandysil Pty Ltd,Private Incorporated Body,-37.744664,144.849696
HammondCare - Montgomery Nursing Home,3162,Residential,HammondCare,Charitable,-37.88440165,145.015475
Trevi Court,3040,Residential,Allity Pty Ltd,Private Incorporated Body,-37.744059,144.909699
Claremont Terrace,3204,Residential,Allity Pty Ltd,Private Incorporated Body,-37.911341,145.041977
Highwood Court,3125,Residential,Allity Pty Ltd,Private Incorporated Body,-37.8530942,145.0953706
Homestead Lakes,3222,Residential,The Leaper Corporation Pty Ltd,Private Incorporated Body,-38.22161976,144.5360797
Estia Health Prahran,3181,Residential,Estia Investments Pty Ltd,Private Incorporated Body,-37.8585167,145.0002105
Medina Manor,3071,Residential,Allity Pty Ltd,Private Incorporated Body,-37.75571171,144.983785
Estia Health Melton South,3338,Residential,Estia Investments Pty Ltd,Private Incorporated Body,-37.7025253,144.572616
Belvedere Aged Care,3174,Residential,Belvedere Aged Care Pty Ltd,Private Incorporated Body,-37.961968,145.18576
Baptcare - Westhaven Community,3011,Residential,Baptcare Ltd,Religious,-37.8012115,144.894414
Abberfield Aged Care Facility,3191,Residential,Sandra Pty Ltd,Private Incorporated Body,-37.948095,145.022068
Traralgon Aged Care,3844,Residential,Aged Care Group Pty Ltd,Private Incorporated Body,-38.2050437,146.5503901
Arlington Aged Care Facility,3071,Residential,TriMor Aged Services Pty Ltd,Private Incorporated Body,-37.754723,145.002222
Bayview Aged Care Facility,3201,Residential,Japara Aged Care Services Pty Ltd,Private Incorporated Body,-38.10215594,145.1709698
Glen Waverley Nursing Home,3150,Residential,Menarock Aged Care Services (Victoria) Pty Ltd,Private Incorporated Body,-37.877076,145.188153
Brentwood Nursing Home,3220,Residential,Opeka Lodge Pty Ltd,Private Incorporated Body,-38.15213165,144.3520734
Grace Villa Aged Care,3088,Residential,Samkay Health Pty Ltd,Private Incorporated Body,-37.70514434,145.1059752
Baptcare Peninsula View Community,3199,Residential,Baptcare Ltd,Religious,-38.185216,145.140331
Deloraine Private Nursing Home,3088,Residential,Ejaz Nominees Pty Ltd,Private Incorporated Body,-37.7072377,145.0940748
Arcare Knox,3152,Residential,Arcare Pty Ltd,Private Incorporated Body,-37.8656464,145.2247908
Uniting AgeWell Carnsworth,3101,Residential,The Uniting Church in Australia Property Trust (Victoria),Religious,-37.80259315,145.0276907
Estia Health Bendigo VIC,3550,Residential,Estia Investments Pty Ltd,Private Incorporated Body,-36.75149705,144.2659072
Opal Gracedale,3134,Residential,Domain Aged Care (Victoria) Pty Ltd,Private Incorporated Body,-37.792197,145.23537
Ferndale Gardens Aged Care Services,3153,Residential,Wickro Pty Ltd,Private Incorporated Body,-37.82326351,145.2691845
Regis Macleod,3085,Residential,Regis Aged Care Pty Ltd,Private Incorporated Body,-37.71881484,145.0760209
Hope Aged Care,3056,Residential,Sixth Eastway Pty Ltd,Private Incorporated Body,-37.76557543,144.9596237
Estia Health Oakleigh East,3166,Residential,Estia Investments Pty Ltd,Private Incorporated Body,-37.898382,145.109746
Kiverton Park Nursing Home,3145,Residential,Japara Aged Care Services Pty Ltd,Private Incorporated Body,-37.887641,145.087532
Lower Plenty Garden Views,3093,Residential,Japara Aged Care Services Pty Ltd,Private Incorporated Body,-37.73055119,145.1302464
Estia Health Bendigo,3550,Residential,Estia Investments Pty Ltd,Private Incorporated Body,-36.74479609,144.2654493
Smorgon Nursing Home,3004,Residential,Jewish Care (Victoria) Inc,Religious,-37.85287943,144.9820498
BlueCross Gardenia,3196,Residential,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,-38.05224518,145.1290481
Bupa Donvale,3111,Residential,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,-37.79195415,145.1797072
Hilltop Aged Care Home,3072,Residential,Sapphire Care Pty Ltd,Private Incorporated Body,-37.75169375,145.0067952
Roccoco Aged Care Facility,3219,Residential,Japara Aged Care Services Pty Ltd,Private Incorporated Body,-38.19076985,144.3879041
Rosehill Aged Care Facility,3190,Residential,Menarock Aged Care Services (Victoria) Pty Ltd,Private Incorporated Body,-37.95292896,145.0319023
Arcare Brighton,3186,Residential,Arcare Pty Ltd,Private Incorporated Body,-37.9003764,144.9990246
St Michael's Aged Care Facility,3163,Residential,K.N.D. & Associates Pty Ltd,Private Incorporated Body,-37.889785,145.069771
Carrum Downs Private Nursing Home,3201,Residential,Merakis Enterprises Pty Ltd,Private Incorporated Body,-38.0916551,145.1802513
Luson Eden Park,3219,Residential,Luson Health Pty Ltd,Private Incorporated Body,-38.17763065,144.3873989
Clovelly Cottage,3155,Residential,Autumn Care Pty Ltd,Private Incorporated Body,-37.852256,145.289189
Bupa Coburg,3058,Residential,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,-37.7387987,144.9612588
Trinity Manor,3103,Residential,Trinity Care Pty Ltd,Private Incorporated Body,-37.80970813,145.0657701
Royal Freemasons - Centennial Lodge,3152,Residential,Royal Freemasons Ltd,Charitable,-37.85781815,145.2531079
Craigcare Pascoe Vale,3044,Residential,Glenn-Craig Villages Pty Ltd,Private Incorporated Body,-37.71547763,144.9435755
Uniting AgeWell Manor Lakes,3024,Residential,The Uniting Church in Australia Property Trust (Victoria),Religious,-37.8737748,144.6071519
Mercy Place Rice Village,3216,Residential,Rice Village Ltd,Religious,-38.19781445,144.3601423
Glenlyn Aged Care Facility,3046,Residential,Kincsem Pty Ltd,Private Incorporated Body,-37.70286745,144.9114671
St Jude's Aged Care Facility,3804,Residential,Japara Aged Care Services Pty Ltd,Private Incorporated Body,-37.99018129,145.3137214
Bupa Woodend,3442,Residential,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,-37.36303883,144.535484
Della Dale Aged Care,3134,Residential,NDN Care Services Pty Ltd,Private Incorporated Body,-37.803608,145.2289
Arcare Malvern East,3145,Residential,Arcare Pty Ltd,Private Incorporated Body,-37.87184111,145.0639362
Estia Health Grovedale,3216,Residential,Estia Investments Pty Ltd,Private Incorporated Body,-38.207143,144.3411936
Royal Freemasons - Springtime Sydenham,3037,Residential,Royal Freemasons Ltd,Charitable,-37.68479878,144.7598467
Kew Gardens Aged Care,3101,Residential,Australian Aged Care Group Pty Ltd,Private Incorporated Body,-37.80823986,145.0326718
Estia Health Epping VIC,3076,Residential,Estia Investments Pty Ltd,Private Incorporated Body,-37.635063,145.0271988
Estia Health Wattle Glen,3096,Residential,Estia Investments Pty Ltd,Private Incorporated Body,-37.65414808,145.194382
Central Park,3181,Residential,Japara Aged Care Services Pty Ltd,Private Incorporated Body,-37.85182895,144.9832201
Craigcare Berwick,3806,Residential,Glenn-Craig Villages Pty Ltd,Private Incorporated Body,-38.027916,145.327727
Uniting AgeWell Noble Park,3174,Residential,The Uniting Church in Australia Property Trust (Victoria),Religious,-37.96723311,145.1905744
Shoreham House - Aged Care Home,3916,Residential,Buehler Aged Care Pty Ltd,Private Incorporated Body,-38.4163723,145.050815
Sheridan Hall Brighton,3186,Residential,Sapphire Care Pty Ltd,Private Incorporated Body,-37.90754141,145.0029399
Boronia Residential Aged Care,3155,Residential,Aged Care Group Pty Ltd,Private Incorporated Body,-37.853659,145.284678
The Mews Aged Care Facility,3126,Residential,Sapphire Care Pty Ltd,Private Incorporated Body,-37.826161,145.071349
Arcare Surrey Hills,3127,Residential,Arcare Pty Ltd,Private Incorporated Body,-37.828287,145.102336
Royal Freemasons - Darvall Lodge,3174,Residential,Royal Freemasons Ltd,Charitable,-37.952414,145.177528
Village Baxter - Manor,3199,Residential,Baptist Village Baxter Ltd,Religious,-38.17495539,145.1444955
Bonbeach Residential Care,3196,Residential,Japara Aged Care Services Pty Ltd,Private Incorporated Body,-38.06686164,145.1207176
Salisbury House Nursing Home,3808,Residential,Menarock Aged Care Services (Templestowe) Pty Ltd,Private Incorporated Body,-38.00559,145.410848
Millhaven Lodge,3810,Residential,Pakenham & District Hospital Inc,Community Based,-38.072374,145.480334
Bupa Croydon,3136,Residential,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,-37.7879585,145.273192
Village Glen Aged Care Residences - Capel Sound,3940,Residential,Ti Tree Operations Pty Ltd,Private Incorporated Body,-38.37015815,144.8802531
Villa Maria Catholic Homes Wantirna Aged Care Residence,3152,Residential,Villa Maria Catholic Homes Limited,Charitable,-37.8710103,145.2337086
Kirralee Residential Aged Care Facility,3350,Residential,Japara Aged Care Services Pty Ltd,Private Incorporated Body,-37.566433,143.89006
Kensington Grange,3224,Residential,Homestyle Leopold Pty Ltd,Private Incorporated Body,-38.190669,144.4631584
Mercy Place Shepparton,3630,Residential,Mercy Aged and Community Care Ltd,Charitable,-36.406656,145.4083043
Regis Ringwood,3134,Residential,Regis Aged Care Pty Ltd,Private Incorporated Body,-37.808817,145.240633
Parkdale House,3195,Residential,Aged Care Group Pty Ltd,Private Incorporated Body,-37.99658078,145.0773266
Hallam Residential Care,3803,Residential,Japara Aged Care Services Pty Ltd,Private Incorporated Body,-37.999997,145.274304
Benlynne Park Nursing Home,3020,Residential,Taronne Pty Ltd,Private Incorporated Body,-37.787338,144.823781
Cumberland Manor,3020,Residential,Primary Caring Pty Ltd,Private Incorporated Body,-37.775194,144.844029
Springvale Private Nursing Home,3171,Residential,Japara Aged Care Services Pty Ltd,Private Incorporated Body,-37.95701749,145.1510921
North Western District Private Nursing Home,3043,Residential,Sixth Eastway Pty Ltd,Private Incorporated Body,-37.68698685,144.886168
Allanvale Private Nursing Home,3028,Residential,Carewest Group Pty Ltd,Private Incorporated Body,-37.87089,144.7636224
Bupa Wodonga,3690,Residential,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,-36.116456,146.868092
Essendon Aged Care,3040,Residential,Menarock Aged Care Services (Victoria) Pty Ltd,Private Incorporated Body,-37.755587,144.92497
Trinity Manor Burwood,3125,Residential,Trinity Care Burwood Pty Ltd,Private Incorporated Body,-37.84939057,145.1011804
Bupa Bonbeach,3196,Residential,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,-38.054908,145.130392
Bupa Sunshine,3020,Residential,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,-37.78570836,144.8380232
Estia Health Ardeer,3022,Residential,Estia Investments Pty Ltd,Private Incorporated Body,-37.779275,144.807895
Yarra West Aged Care,3013,Residential,Japara Aged Care Services Pty Ltd,Private Incorporated Body,-37.812696,144.894863
Bupa Bellarine Lakes,3224,Residential,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,-38.1805059,144.4267337
Estia Health Altona Meadows,3028,Residential,Estia Investments Pty Ltd,Private Incorporated Body,-37.87380912,144.7876352
Bupa Thomastown,3074,Residential,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,-37.68333265,145.0291097
Estia Health Keilor,3038,Residential,Estia Investments Pty Ltd,Private Incorporated Body,-37.723392,144.807309
Benetas Colton Close,3046,Residential,Anglican Aged Care Services Group,Religious,-37.70536179,144.9112813
Bupa South Morang,3752,Residential,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,-37.6546481,145.0881468
Regis Sunraysia,3500,Residential,Regis Aged Care Pty Ltd,Private Incorporated Body,-34.17924985,142.1482585
South Port Community Residential Home,3206,Residential,South Port Community Residential Home Inc,Community Based,-37.84279367,144.947789
Southern Cross Care Keon Park,3073,Residential,Southern Cross Care (VIC),Religious,-37.69727702,145.0260296
Westgate Aged Care Facility,3015,Residential,Pannavila Enterprises Pty Ltd,Private Incorporated Body,-37.841403,144.879328
Vermont Aged Care,3133,Residential,Georjose Pty Ltd,Private Incorporated Body,-37.83347205,145.2094254
Sherbrooke Private Nursing Home,3156,Residential,Menarock Aged Care Services (Victoria) Pty Ltd,Private Incorporated Body,-37.8973494,145.2983013
Mercy Place Wyndham,3030,Residential,Mercy Aged and Community Care Ltd,Charitable,-37.90819019,144.6571973
DP Jones Nursing Home,3610,Residential,Murchison Community Care Inc,Community Based,-36.6188389,145.212674
Royal Freemasons - Footscray Aged Care,3011,Residential,Royal Freemasons Ltd,Charitable,-37.7866032,144.8842823
Natimuk BNH-Nursing Home Annexe,3409,Residential,West Wimmera Health Service,State Government,-36.74525255,141.937601
Acacia House Residential Aged Care Service,3630,Residential,Shepparton Retirement Villages Inc,Charitable,-36.36389362,145.3916584
San Carlo Homes for the Aged,3752,Residential,San Carlo Homes for the Aged Ltd,Religious,-37.639174,145.096121
Tarago Views Aged Care,3831,Residential,Neerim District Soldiers' Memorial Hospital Inc,Private Incorporated Body,-38.02205343,145.9540853
GraniteHill Aged Care,3666,Residential,Euroa Health Inc,Community Based,-36.759171,145.570093
McGregor Gardens Aged Care,3810,Residential,Menarock Aged Care Services (Victoria) Pty Ltd,Private Incorporated Body,-38.076647,145.4744367
Shepparton Aged Care,3630,Residential,Menarock Aged Care Services (Victoria) Pty Ltd,Private Incorporated Body,-36.3572884,145.4073314
Mercy Health Bethlehem Home For The Aged,3555,Residential,Bethlehem Home for the Aged Ltd,Charitable,-36.76783957,144.2497264
Nazareth House Ballarat,3350,Residential,Nazareth Care,Religious,-37.553786,143.845017
Riverview Aged Care,3480,Residential,East Wimmera Health Service,State Government,-36.36512234,142.9751158
Archie Gray Nursing Home Unit,3419,Residential,West Wimmera Health Service,State Government,-36.38118554,141.246061
Avoca Nursing Home,3467,Residential,Maryborough District Health Service,State Government,-37.09241886,143.4685646
Lorne Nursing Home,3232,Residential,Lorne Community Hospital,State Government,-38.54637283,143.9794029
Cohuna District Nursing Home,3568,Residential,Cohuna District Hospital,State Government,-35.80014043,144.214509
Lakes Entrance Aged Care Facility,3909,Residential,Japara Aged Care Services Pty Ltd,Private Incorporated Body,-37.877338,147.962048
Violet Town Bush Nursing Centre,3669,Residential,Violet Town Bush Nursing Centre Inc,Community Based,-36.63575713,145.7126294
Cassia House,3108,Residential,MannaCare Inc.,Community Based,-37.77597034,145.1182529
Kirkbrae Kilsyth Nursing Home,3137,Residential,Presbyterian Church of Victoria Trusts Corporation,Religious,-37.809911,145.331096
Birchip Nursing Home,3483,Residential,East Wimmera Health Service,State Government,-35.98005609,142.9162949
Rupanyup District Nursing Home,3388,Residential,West Wimmera Health Service,State Government,-36.6366658,142.6315452
Rosebank Nursing Home,3717,Residential,Yea and District Memorial Hospital,State Government,-37.21395755,145.4309531
Jeparit & District Nursing Home,3423,Residential,West Wimmera Health Service,State Government,-36.14272431,141.9890273
Rainbow Bush Nursing Home Annexe,3424,Residential,West Wimmera Health Service,State Government,-35.90318608,141.9950794
SCC Mordialloc Home,3194,Residential,Southern Cross Care (VIC),Religious,-37.98465031,145.0620168
Willaura Hospital Nursing Home,3379,Residential,East Grampians Health Service,State Government,-37.54632915,142.7425491
Lilydale Aged Care,3140,Residential,Allity Pty Ltd,Private Incorporated Body,-37.7616175,145.3537533
Mount View Aged Care Facility,3264,Residential,Terang and Mortlake Health Service,State Government,-38.23937608,142.9024933
Penshurst Nursing Home,3289,Residential,Western District Health Service,State Government,-37.876583,142.278246
Glenview Community Care Nursing Home,3685,Residential,Indigo North Health Inc,Charitable,-36.05730394,146.4585854
Lakeview Nursing Home,3700,Residential,Tallangatta Health Service,State Government,-36.21419575,147.1832239
Heathcote Health High Care Service,3523,Residential,Heathcote Health,State Government,-36.92560414,144.7097048
Boort District Health High Care,3537,Residential,Boort District Health,State Government,-36.11516886,143.7271956
The Oaks Nursing Home-Gisborne,3437,Residential,Gisborne & District Community Health & Hospital Board Inc,Community Based,-37.48566,144.584305
Dunolly Nursing Home,3472,Residential,Maryborough District Health Service,State Government,-36.8565367,143.7352165
Valley View Nursing Home,3315,Residential,Western District Health Service,State Government,-37.60053727,141.6921575
Spurway Community,3163,Residential,City of Glen Eira,Local Government,-37.89085148,145.0661053
Northside Aged Persons Mental Health Residential Care Facility,3151,Residential,Eastern Health,State Government,-37.854334,145.162215
Heywood Nursing Home,3304,Residential,Heywood Rural Health,State Government,-38.136946,141.6247213
Southern Cross Care Rosebud,3939,Residential,Southern Cross Care (VIC),Religious,-38.361051,144.886513
Jack Lonsdale Lodge,3356,Residential,Ballarat Health Services,State Government,-37.59697688,143.8380299
Daylesford Nursing Home,3460,Residential,Hepburn Health Service,State Government,-37.337496,144.145251
Don-Wood Nursing Home,3136,Residential,Donwood Community Aged Care Services Inc,Community Based,-37.799678,145.26086
Ian Brand Nursing Home,3083,Residential,Northern Health,State Government,-37.70096938,145.0576404
Edward Street Nursing Home,3156,Residential,Eastern Health,State Government,-37.89802011,145.3142194
